           ,Subject,Grade Band,             ,Standard,    ,               ,Proficiency Level,      ,       ,        
ELP14,English Language Proficiency,High School (9-12),9-12.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"relying heavily on context, visual aids, and knowledge of morphology in their native language, recognize the meaning of a few frequently occurring words, simple phrases, and formulaic expressions in texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"using context, visual aids, reference materials, and knowledge of morphology in their native language, determine the meaning of frequently occurring words, phrases, and expressions in texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"using context, some visual aids, reference materials, and a developing knowledge of English morphology (e.g., affixes and root words), determine the meaning of general academic and content-specific words and phrases and frequently occurring expressions in texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"using context, increasingly complex visual aids, reference materials, and an increasing knowledge of English morphology, determine the meaning of general academic and content-specific words and phrases, figurative and connotative&nbsp; language, and a growing number of idiomatic expressions in texts about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"using context, complex visual aids, reference materials, and consistent knowledge of English morphology, determine the meaning of general academic and content-specific words and phrases, figurative and connotative language (e.g., irony, hyperbole), and idiomatic expressions in texts about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including context and visual aids) and non-verbal communication, communicate basic information about an event or topic, use a narrow range of vocabulary and syntactically simple sentences with limited control.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including modeled sentences), recount a short sequence of events in order, and introduce an informational topic, provide one or two facts about the topic, use common linking words to connect events and ideas (e.g., first, next, because) with emerging control.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"recount a sequence of events, with a beginning, middle, and end, introduce and develop an informational topic with facts and details, use common transitional words and phrases to connect events, ideas, and opinions (e.g., after a while, for example, as a result), provide a conclusion&nbsp; with developing control.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"recount a longer, more detailed sequence of events or steps in a process, with a clear sequential or chronological structure, introduce and develop an informational topic with facts, details, and evidence, use a variety of more complex transitions to link the major sections of text and speech and to clarify relationships among events and ideas, provide a concluding section or statement with increasingly independent control.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"recount a complex and detailed sequence of events or steps in a process, with an effective sequential or chronological order, introduce and effectively develop an informational topic with facts, details, and evidence, use complex and varied transitions to link the major sections of text and speech and to clarify relationships among events and ideas, provide a concluding section or statement.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including modeled sentences), recognize and use a small number of frequently occurring nouns, noun phrases, verbs, conjunctions, and prepositions, understand and respond to simple questions.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including modeled sentences), use frequently occurring verbs, nouns, adjectives, adverbs, prepositions, and conjunctions, produce simple and compound sentences.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including modeled sentences), use simple phrases (e.g., noun, verb, adjective, adverbial, prepositional), use simple clauses (e.g., independent, dependent, relative, adverbial), produce and expand simple, compound and a few complex sentences.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"use increasingly complex phrases (e.g., noun, verb, adjective, adverbial and participial, prepositional, and absolute) , use increasingly complex clauses, produce and expand simple, compound, and complex sentences.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"use complex phrases and clauses, produce and expand simple, compound, and complex sentences.",,,
