           ,Subject,grade,             ,Strand,              ,Strand Descriptor,               ,Concept,                ,Accessing Information,       ,        
HE12,Health Education (2012),High School,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PM07.CC,"Explain the causes, effects and symptoms of depression, including suicide and psychosis.(Essential).  (REQ)",HE.12.PM07.AI,Identify school and community resources that can help a person who is depressed or contemplating suicide. (Essential)  (REQ),,
HE12,Health Education (2012),High School,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PM08.CC,Explain eating disorders and symptoms.  (REC),HE.12.PM08.INF,"Identify how eating disorders are influenced by culture, family, media, technology, peers, body image and emotions.  (REC)",,
HE12,Health Education (2012),High School,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PM09.CC,Explain different signs and symptoms of addictive behaviors.  (REC),HE.12.PM09.AI,Identify school and community resources that support people with addictive behaviors.  (REC),,
HE12,Health Education (2012),High School,,"Promotion of Mental, Social and Emotional Health",,"Acquire knowledge and skills to understand that mental, social and emotional health contributes to building and maintaining interpersonal relationships.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-0711 Child Abuse Reporting; 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PM09.CC,Explain different signs and symptoms of addictive behaviors.  (REC),HE.12.PM09.IC,Identify how to communicate to a friend or relative you think is an addict and should get support/help.  (REC),,
HE12,Health Education (2012),High School,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.12.PP01.CC,"Explain physical academic, mental and social benefits of physical activity and the relationship of sedentary lifestyle to chronic disease.  (REQ)",HE.12.PP01.AI,"Access information for personalized FITT Plans (Frequency, Intensity, Type, Time).  (REQ)",,
HE12,Health Education (2012),High School,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.12.PP01.CC,"Explain physical academic, mental and social benefits of physical activity and the relationship of sedentary lifestyle to chronic disease.  (REQ)",HE.12.PP01.GS,Develop short/long term goals to promote life- long fitness. (Essential)  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.12.PP02.CC,Describe appropriate use of safety equipment and procedures for physical activity.  (REC),HE.12.PP02.ADV,Advocate to peers for the use of safety equipment during physical activity.  (REC),,
HE12,Health Education (2012),High School,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.12.PP03.CC,"Describe the role of lifelong fitness in maintaining personal fitness, blood pressure, weight and percentage of body fat.  (REC)",HE.12.PP03.INF,Describe how physical activity influences life-long wellness.  (REC),,
HE12,Health Education (2012),High School,,Promotion of Physical Activity,,Acquire knowledge and skills to understand the role physical activity has in promoting health.  [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); 329.496 – 501 Physical Education Requirements (K-12); Related OAR: 581-022-1661 Physical Education Requirements (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12)],HE.12.PP04.CC,"Identify the health risks and legal issues related to using steroids, performance-enhancing drugs and controlled substances.  (REQ)",HE.12.PP04.DM,Use the decision making process to refuse and avoid the use of performance enhancing drugs.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS01.CC,"Describe physical, social and emotional changes during the transition from adolescence to adulthood.  (REQ)",,No skill listed for this concept,,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS02.CC,Explain the menstrual cycle and its relationship to conception and pregnancy.  (REQ),,No skill listed for this concept,,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS03.CC,"Explain how conception occurs, the stages of pregnancy, and responsibility of parenting.  (REQ)",HE.12.PS03.AI,Demonstrate the ability to access community resources that provide assistance around sexual health and pregnancy.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS03.CC,"Explain how conception occurs, the stages of pregnancy, and responsibility of parenting.  (REQ)",HE.12.PS03.GS,Set a personal goal to avoid an unintended pregnancy.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS04.CC,"Explain why abstinence is the safest, most effective method of protection from HPV, STD/HIV, Hepatitis B and C and pregnancy.  (REQ)",HE.12.PS04.IC,"Effectively communicate the decisions and behaviors of family, peers and others that promote healthy sexual behaviors.  (REQ)",,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS04.CC,"Explain why abstinence is the safest, most effective method of protection from HPV, STD/HIV, Hepatitis B and C and pregnancy.  (REQ)",HE.12.PS04.DM,Use the decision making process to make healthy choices around sexual health.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS05.CC,"Describe contraceptive methods, disease reduction measures, their proper use, and their effectiveness including condoms.  (REQ)",HE.12.PS05.AI,"Compare the effectiveness of a variety of contraceptives, including abstinence and other safer sex practices.  (REQ)",,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS05.CC,"Describe contraceptive methods, disease reduction measures, their proper use, and their effectiveness including condoms.  (REQ)",HE.12.PS05.SM,Demonstrate the steps to using a condom correctly.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS05.CC,"Describe contraceptive methods, disease reduction measures, their proper use, and their effectiveness including condoms.  (REQ)",HE.12.PS05.IC,"Demonstrate ways to communicate decisions about whether or when to engage in sexual behaviors, and to practice safer sex.  (REQ)",,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS05.CC,"Describe contraceptive methods, disease reduction measures, their proper use, and their effectiveness including condoms.  (REQ)",HE.12.PS05.GS,Develop short and long-term goals that will maintain sexual health and avoid unintended pregnancy and STDs.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS06.CC,Explain the laws related to reproductive and sexual health care.  (REQ),,No skill listed for this concept.,,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS07.CC,"Identify common symptoms of and treatments for STDs and HIV, including increased risk with multiple partners.  (REQ)",HE.12.PS07.AI,Explain how to access local STD and HIV testing and treatment services.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS07.CC,"Identify common symptoms of and treatments for STDs and HIV, including increased risk with multiple partners.  (REQ)",HE.12.PS07.SM,Analyze individual responsibility about testing for and informing partners about STDs and HIV status.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS07.CC,"Identify common symptoms of and treatments for STDs and HIV, including increased risk with multiple partners.  (REQ)",HE.12.PS07.IC,Demonstrate skills to communicate about STD and HIV prevention and testing.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS07.CC,"Identify common symptoms of and treatments for STDs and HIV, including increased risk with multiple partners.  (REQ)",HE.12.PS07.ADV,Advocate for using sexual protection if having sex.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS08.CC,"Differentiate between biological sex, sexual orientation, and gender identity and expression.  (REQ)",HE.12.PS08.SM,"Explain how to promote safety, respect, awareness and acceptance.   (REQ)",,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS08.CC,"Differentiate between biological sex, sexual orientation, and gender identity and expression.  (REQ)",HE.12.PS08.INF,"Analyze the influence of friends, family, media, society and culture on the expression of gender, sexual orientation and identity.  (REQ)",,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS08.CC,"Differentiate between biological sex, sexual orientation, and gender identity and expression.  (REQ)",HE.12.PS08.ADV,Advocate for school policies and programs that promote dignity and respect for all.,,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS09.CC,Describe the impact of alcohol and other drug use on sexual decision-making.  (REQ),HE.12.PS09.INF,Describe how alcohol and other drugs can affect decision-making and influence sexual risk taking.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS10.CC,Describe a range of ways to express affection with healthy relationships.  (REQ),HE.12.PS10.IC,Demonstrate an understanding of “consent” through effective communication skills.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS10.CC,Describe a range of ways to express affection with healthy relationships.  (REQ),HE.12.PS10.GS,Set a personal goal to treat partners with respect and to be treated with respect.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS11.CC,Describe characteristics of healthy and unhealthy romantic and/or sexual relationships.  (REQ),HE.12.PS11.AI,Demonstrate how to access valid information and resources about healthy and unhealthy relationships.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS11.CC,Describe characteristics of healthy and unhealthy romantic and/or sexual relationships.  (REQ),HE.12.PS11.INF,Explain how media can influence one’s beliefs about what constitutes a healthy relationship.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS11.CC,Describe characteristics of healthy and unhealthy romantic and/or sexual relationships.  (REQ),HE.12.PS11.IC,Demonstrate effective strategies to avoid or end an unhealthy relationship.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS12.CC,Define sexual consent and explain its implications for sexual decision-making.  (REQ),HE.12.PS12.AI,Demonstrate respect for the boundaries of others as they relate to intimacy and sexual behavior.  (REQ),,
HE12,Health Education (2012),High School,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR:  581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.PS12.CC,Define sexual consent and explain its implications for sexual decision-making.  (REQ),HE.12.PS12.IC,Demonstrate effective ways to communicate personal boundaries as they relate to intimacy and sexual behavior.  (REQ),,
HE12,Health Education (2012),High School,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.12.UI01.CC,Distinguish ways to prevent fires and reduce risk of injuries in case of fire.  (REQ),HE.12.UI01.AI,Access information on hazardous materials in your community and what emergency procedures would be followed during a hazardous materials spill that resulted in a fire or explosion.  (REQ),,
HE12,Health Education (2012),High School,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.12.UI01.CC,Distinguish ways to prevent fires and reduce risk of injuries in case of fire.  (REQ),HE.12.UI01.INF,Analyze the history and development of the uniform fire code and how the code regulates how buildings are being engineered to protect property and save lives from fire.   (REQ),,
HE12,Health Education (2012),High School,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.12.UI01.CC,Distinguish ways to prevent fires and reduce risk of injuries in case of fire.  (REQ),HE.12.UI01.DM,Use the decision making process to develop a plan on how to reduce risk in wild land urban interfaces areas around your home and in your community.  (REQ),,
HE12,Health Education (2012),High School,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.12.UI02.CC,Explain ways to reduce risk of injuries in and around water.  (REQ),HE.12.UI02.IC,Demonstrate refusal skills and delay tactics to maintain safety in and around water.  (REQ),,
HE12,Health Education (2012),High School,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.12.UI02.CC,Explain ways to reduce risk of injuries in and around water.  (REQ),HE.12.UI02.ADV,Advocate for safe alternatives to risky situations in and around water.  (REQ),,
HE12,Health Education (2012),High School,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District Curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.12.UI03.CC,Explain safe behavior while traveling to and from school and in the community.  (REQ),HE.12.UI03.DM,Use the decision making process to carry out safety practices in and around motorized vehicles.  (REQ),,
